date,schedule_interval,transmission_id,sched_inj_gj,sched_wdl_gj,price_value,administered_price,actual_wdl_gj,actual_inj_gj
2016-11-02,3,168115,774891.2192,726571.6461,8.0,,766131.2874,757194.3922
2016-11-02,4,168121,794652.0905,729473.6461,9.1021,,766131.2874,757194.3922
2016-11-02,5,168124,812464.1243,729550.6461,9.39,,766131.2874,757194.3922
2016-11-01,1,168044,738264.2434,732869.0,6.9487,,752786.7376,742450.4198
2016-11-01,2,168060,757060.0,737145.1823,8.2201,,752786.7376,742450.4198
2016-11-01,3,168072,752738.0,732524.9477,7.59,,752786.7376,742450.4198
2016-11-01,4,168080,753337.0,731107.446,6.95,,752786.7376,742450.4198
2016-11-01,5,168084,757229.2393,726157.0,8.29,,752786.7376,742450.4198
2016-10-31,1,167985,738991.2753,702435.0,6.9487,,724022.2256,759562.7135
2016-10-31,2,168005,757957.6567,693240.6666,9.14,,724022.2256,759562.7135
2016-10-31,3,168021,767285.4945,693752.0,8.001,,724022.2256,759562.7135
2016-10-31,4,168032,797890.0,721930.1459,8.5,,724022.2256,759562.7135
2016-10-31,5,168036,795481.9475,733376.7307,5.6,,724022.2256,759562.7135
2016-10-30,1,167941,588471.0,588454.8518,4.0,,651360.1997,593772.088
2016-10-30,2,167947,589319.0,598796.4484,3.0188,,651360.1997,593772.088
2016-10-30,3,167962,589319.0,602056.7541,3.0188,,651360.1997,593772.088
2016-10-30,4,167968,581819.0,591397.1,4.0,,651360.1997,593772.088
2016-10-30,5,167973,590473.0,584867.8751,5.0,,651360.1997,593772.088
2016-10-29,1,167909,611648.1117,621697.0,2.4,,653865.2011,637088.5449
2016-10-29,2,167913,628530.0,621789.5037,4.0,,653865.2011,637088.5449
2016-10-29,3,167921,637704.0,639995.5181,3.1212,,653865.2011,637088.5449
2016-10-29,4,167929,637943.0,642756.4654,3.2121,,653865.2011,637088.5449
2016-10-29,5,167937,636191.7896,641840.6077,3.5888,,653865.2011,637088.5449
2016-10-28,1,167877,736056.6933,733861.0,6.02,,688851.6505,721138.0332
2016-10-28,2,167885,757930.3701,736923.545,7.7021,,688851.6505,721138.0332
2016-10-28,3,167889,749616.1947,749905.2262,4.5,,688851.6505,721138.0332
2016-10-28,4,167900,750731.1947,768630.5436,4.1,,688851.6505,721138.0332
2016-10-28,5,167903,750764.1947,799975.0703,1.429,,688851.6505,721138.0332
2016-10-27,1,167849,699602.0678,670976.0,7.8998,,630601.1006,647301.5815
2016-10-27,2,167853,698380.0,664694.2414,7.7021,,630601.1006,647301.5815
2016-10-27,3,167861,691729.0,660458.1141,7.0,,630601.1006,647301.5815
2016-10-27,4,167867,675084.7674,669296.6231,6.19,,630601.1006,647301.5815
2016-10-27,5,167871,673126.6232,690246.5883,5.7021,,630601.1006,647301.5815
2016-10-26,1,167812,675309.1065,655152.0,6.4302,,699882.9217,684579.1876
2016-10-26,2,167819,675769.5247,661749.9583,6.3084,,699882.9217,684579.1876
2016-10-26,3,167827,681654.0,669265.9616,5.8,,699882.9217,684579.1876
2016-10-26,4,167831,709364.3545,679738.0,7.6914,,699882.9217,684579.1876
2016-10-26,5,167834,724104.7733,678397.9999,7.99,,699882.9217,684579.1876
2016-10-25,1,167764,651760.0,651102.3098,5.8,,660038.5726,648444.9516
2016-10-25,2,167774,673757.525,647969.4806,7.3589,,660038.5726,648444.9516
2016-10-25,3,167786,671758.0,656581.4414,5.86,,660038.5726,648444.9516
2016-10-25,4,167795,675874.0,664553.2912,6.4355,,660038.5726,648444.9516
2016-10-25,5,167802,682767.4791,676489.4806,5.8,,660038.5726,648444.9516
